Area_Name,Year,Subgroup,Rape_Cases_Reported,Victims_Above_50_Yrs,Victims_Between_10-14_Yrs,Victims_Between_14-18_Yrs,Victims_Between_18-30_Yrs,Victims_Between_30-50_Yrs,Victims_of_Rape_Total,Victims_Upto_10_Yrs
Gujarat,2001,Total Rape Victims,286,0,23,87,125,36,286,15
Gujarat,2001,Victims of Incest Rape,2,0,0,2,0,0,2,0
Gujarat,2001,Victims of Other Rape,284,0,23,85,125,36,284,15
Gujarat,2002,Total Rape Victims,267,0,16,43,176,17,268,16
Gujarat,2002,Victims of Incest Rape,10,0,4,2,2,0,10,2
Gujarat,2002,Victims of Other Rape,257,0,12,41,174,17,258,14
Gujarat,2003,Total Rape Victims,236,0,17,46,143,13,236,17
Gujarat,2003,Victims of Incest Rape,7,0,0,3,3,0,7,1
Gujarat,2003,Victims of Other Rape,229,0,17,43,140,13,229,16
Gujarat,2004,Total Rape Victims,339,2,27,57,194,47,339,12
Gujarat,2004,Victims of Incest Rape,14,0,2,2,7,3,14,0
Gujarat,2004,Victims of Other Rape,325,2,25,55,187,44,325,12
Gujarat,2005,Total Rape Victims,324,0,28,44,218,16,324,18
Gujarat,2005,Victims of Incest Rape,19,0,4,5,8,0,19,2
Gujarat,2005,Victims of Other Rape,305,0,24,39,210,16,305,16
Gujarat,2006,Total Rape Victims,354,1,30,62,213,28,354,20
Gujarat,2006,Victims of Incest Rape,16,0,2,0,14,0,16,0
Gujarat,2006,Victims of Other Rape,338,1,28,62,199,28,338,20
Gujarat,2007,Total Rape Victims,316,1,30,51,180,37,317,18
Gujarat,2007,Victims of Incest Rape,3,0,0,1,0,1,3,1
Gujarat,2007,Victims of Other Rape,313,1,30,50,180,36,314,17
Gujarat,2008,Total Rape Victims,374,1,27,57,217,57,374,15
Gujarat,2008,Victims of Incest Rape,4,0,1,2,1,0,4,0
Gujarat,2008,Victims of Other Rape,370,1,26,55,216,57,370,15
Gujarat,2009,Total Rape Victims,433,1,27,50,308,32,433,15
Gujarat,2009,Victims of Incest Rape,18,0,2,3,10,2,18,1
Gujarat,2009,Victims of Other Rape,415,1,25,47,298,30,415,14
Gujarat,2010,Total Rape Victims,408,2,28,53,261,42,408,22
Gujarat,2010,Victims of Incest Rape,4,0,0,2,1,0,4,1
Gujarat,2010,Victims of Other Rape,404,2,28,51,260,42,404,21
