Area_Name,Year,Group_Name,Sub_Group_Name,Auto_Theft_Coordinated/Traced,Auto_Theft_Recovered,Auto_Theft_Stolen
Gujarat,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,401,1345,4830
Gujarat,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,254,1325,5318
Gujarat,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,347,1770,6131
Gujarat,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,456,1798,6075
Gujarat,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,353,1517,6199
Gujarat,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,423,1437,6409
Gujarat,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,500,1655,7252
Gujarat,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,637,1972,8976
Gujarat,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,918,2445,9821
Gujarat,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,724,2122,8403
Gujarat,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,36,130,460
Gujarat,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,29,172,565
Gujarat,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,52,370,661
Gujarat,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,46,217,596
Gujarat,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,34,158,629
Gujarat,2006,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,34,118,467
Gujarat,2007,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,64,156,508
Gujarat,2008,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,55,103,593
Gujarat,2009,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,49,155,763
Gujarat,2010,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,58,170,843
Gujarat,2001,AT3-Buses,3. Buses,1,3,3
Gujarat,2002,AT3-Buses,3. Buses,1,4,36
Gujarat,2003,AT3-Buses,3. Buses,2,4,36
Gujarat,2004,AT3-Buses,3. Buses,1,24,46
Gujarat,2005,AT3-Buses,3. Buses,0,24,55
Gujarat,2006,AT3-Buses,3. Buses,1,3,8
