Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen
Gujarat,2001,Burglary - Property,3. Burglary,1124,4928,20821285,141650158
Gujarat,2002,Burglary - Property,3. Burglary,1183,5153,21424048,181149074
Gujarat,2003,Burglary - Property,3. Burglary,1334,5684,27303140,186884277
Gujarat,2004,Burglary - Property,3. Burglary,1308,5670,34432089,211383452
Gujarat,2005,Burglary - Property,3. Burglary,1188,5140,67616775,254373304
Gujarat,2006,Burglary - Property,3. Burglary,1405,5363,32600847,299427287
Gujarat,2007,Burglary - Property,3. Burglary,1230,4747,44679310,240405506
Gujarat,2008,Burglary - Property,3. Burglary,1430,4932,59048428,339401791
Gujarat,2009,Burglary - Property,3. Burglary,1269,4385,54175506,284188989
Gujarat,2010,Burglary - Property,3. Burglary,1085,3850,57003755,280852404
Gujarat,2001,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,559,1348,41218510,269095652
Gujarat,2002,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,500,1188,28577528,1062403379
Gujarat,2003,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,655,1545,73873740,1008562218
Gujarat,2004,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,608,1419,26259866,1737345011
Gujarat,2005,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,678,1242,31806265,2166041426
Gujarat,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,567,1118,30433157,635317912
Gujarat,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,545,987,40665503,435121121
Gujarat,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,482,917,56003381,787400659
Gujarat,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,450,987,126189464,1021824056
Gujarat,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,406,997,72558586,757466843
Gujarat,2001,Dacoity -Property,1. Dacoity,170,313,18828557,62407290
Gujarat,2002,Dacoity -Property,1. Dacoity,407,777,16788842,1384990691
Gujarat,2003,Dacoity -Property,1. Dacoity,150,330,26943119,58594806
Gujarat,2004,Dacoity -Property,1. Dacoity,160,348,28413195,108910792
